"[1.0574312631737515, -2.3551813345281323, 0.9562430667303877]","[0.9676065083645121, -2.419088738435118, 1.6436922090672414]","[1.14084850690722, -2.3876810573631566, 1.4249405054573763]","[0.8616831427293108, -2.358517196464555, 1.3845463531636124]","[0.020729627079940645, -0.8938416291728479, 0.0]",a,Book,14
"[1.3857770866200207, -2.0052932839661053, 0.9540951842640222]","[1.3172619606636435, -2.1289332216552377, 1.5996590940479818]","[1.4516179271670482, -2.0272871998194026, 1.3941519050125657]","[1.1543365147060634, -2.0356566713368114, 1.368395009470421]","[0.5474206063238244, -0.8517665741969828, 0.0]",ko,Bottle,3
"[1.978833534483603, -3.849515610993093, 1.3907832591061164]","[2.151451079207203, -3.743604299112667, 1.6005965859899356]","[2.093897654275575, -3.853783002538966, 1.3681194297653647]","[2.280726122389652, -3.7109675896991314, 1.378600077645611]","[2.646955789148565, -5.354567405911045, 0.0]",a,Book,10
"[1.9683587671986995, -4.0274365291523955, 0.9033607306503018]","[2.126471325504099, -3.9161236431165634, 1.6094606655262673]","[2.0600427626101445, -4.058438146927075, 1.369688311052757]","[2.3010024456659868, -3.8810258518484173, 1.3789516525887209]","[2.6228251690466933, -5.3710309531522755, 0.0]",ko,Stuffed Toy,8
"[0.212723689417866, -4.351147780017508, 1.3034184194550087]","[0.16549968323755682, -4.42396094605992, 1.61981900987361]","[0.0951929375461612, -4.648069443046968, 1.3638185772639306]","[0.2031930890315624, -4.330454057490888, 1.3912136782713609]","[1.5354366416749197, -4.982441493213147, 0.0]",a,Stuffed Toy,5
"[0.2815451399687183, -4.566374070522034, 0.9973003886917536]","[0.25931401475992777, -4.560166536958308, 1.6007091006191074]","[0.16604601133269226, -4.685503674345115, 1.3939315324005763]","[0.38455552354466116, -4.495855324439809, 1.3377540044156313]","[1.7003637572810038, -4.974189691390351, 0.0]",a,Cup,15
"[-1.0319175887834957, -4.3629240334937505, 0.9672931500273468]","[-1.1286248321942787, -4.326645605760284, 1.5816662432995012]","[-1.210555404609312, -4.480235801931908, 1.3405404178623739]","[-0.9846035015361201, -4.295450179753363, 1.3673005614928906]","[-0.7689709815397351, -5.9115690747410845, 0.0]",ko,Book,11
"[-1.1107481538986403, -4.408917351788117, 1.3804163175247872]","[-1.089465549777604, -4.343990328995131, 1.4335026605468335]","[-1.112641034631274, -4.320455840881542, 1.4447444243770184]","[-1.0751870595732185, -4.342174755321658, 1.4132895300823274]","[-0.8808934934259174, -5.68436534344906, 0.0]",a,Stuffed Toy,5
"[-2.412783921618212, -1.4495576615577286, 0.12377937480509771]","[-2.421764074436491, -1.4850975281461996, 0.13251913471265464]","[-2.3737564705899743, -1.39796840353234, 0.08158684654279358]","[-2.341530430770306, -1.4238141713734758, 0.024533936214882424]","[-0.015237355616707178, -1.6671243679037773, 0.0]",a,Book,12
"[-0.8976797860285124, -2.6345175347006164, 1.1331087189339366]","[-1.0504160871386077, -2.651284134949737, 1.5653719442509382]","[-0.8685407732293111, -2.697842108732716, 1.3658145157818375]","[-1.0927709723000247, -2.4997763909079067, 1.3523320692204204]","[-0.2876131390234857, -1.523881227142504, 0.0]",ko,Stuffed Toy,6
