"[-0.3200599712366965, -4.4725545526021255, 1.3074032610731565]","[-0.005359872335471083, -4.728167725107964, 1.602833096744626]","[-0.08629460706071201, -4.746485155644814, 1.3674079362255598]","[0.2700642566117082, -4.7588944743110275, 1.3724057620840513]","[-1.0737612939517414, -2.60405858005307, 0.0]",nan,Cup,16
"[-0.4340136949659126, -4.335991026346002, 1.429261347821578]","[-0.015764898905709757, -4.68107084139884, 1.6193554489140078]","[-0.10363133021644544, -4.712779495536825, 1.3834337504418939]","[0.22489138112090745, -4.673930353758308, 1.366979458761649]","[-1.0731770169959673, -2.604910430601031, 0.0]",nan,Bottle,0
"[-0.4693419205634871, -4.327746071811279, 1.4204777268890905]","[-0.034777451915076085, -4.624652713041676, 1.6095574585918948]","[-0.11870807214983692, -4.6590730953055886, 1.3742679494045924]","[0.2210412645798887, -4.608210999736311, 1.3619006412647914]","[-1.0721582264082317, -2.601339165542795, 0.0]",nan,Stuffed Toy,5
"[-1.1978781896483657, -3.8967995152834938, 0.9852828555007158]","[-1.0004754147530739, -4.133707800851086, 1.5592836229328684]","[-0.8436195860559015, -4.380266971108241, 1.3577548949245983]","[-0.918949648357507, -4.035086770588451, 1.3641101894389163]","[-2.790888654855792, -5.157932792361004, 0.0]",nan,Stuffed Toy,6
"[-1.2523451479679986, -3.7390958495567377, 1.0837197540525974]","[-1.1575287624045532, -4.160759343549426, 1.5910108773235856]","[-1.1366567169535235, -4.422409159523094, 1.3400971083168567]","[-1.0336609450897742, -4.104447972890231, 1.3518006293301168]","[-2.7903583269289967, -5.163096091828718, 0.0]",nan,Cup,16
"[-1.3465219728752145, -3.8763858730523975, 1.4225617134481]","[-1.0635340086987775, -4.23100836844651, 1.6211907677279627]","[-1.0606032376011725, -4.499079838285085, 1.3351821391110001]","[-1.0185134659395703, -4.148047025429755, 1.4067324189667285]","[-2.790632782272754, -5.163618679569518, 0.0]",nan,Bottle,0
"[-1.2890692998620412, -3.5707726761101424, 1.4039535461191712]","[-0.8998097474919498, -3.8622851264215914, 1.5930720655045905]","[-0.7600355534844232, -4.0777954804766985, 1.3453733408987882]","[-0.8340552472377771, -3.743376424212479, 1.3924971142361307]","[-2.7902359812904725, -5.1637229813998875, 0.0]",nan,Book,10
"[-1.2580672478113457, -2.8155324111916076, 0.9253252471410005]","[-1.0850609773694293, -2.63739164664098, 1.5458051201626917]","[-0.9038589652886253, -2.4328614311769505, 1.3452267584130428]","[-1.2186267725800757, -2.573378766579432, 1.3521520432755612]","[-0.17635747584075892, -4.110959004769296, 0.0]",nan,Book,11
"[-1.2860543723141593, -3.004272716832284, 1.0959576513492522]","[-1.0863276116969742, -2.708289071322544, 1.5675699798588334]","[-0.8504718472941213, -2.556290484050168, 1.3431924420021741]","[-1.1949142648981848, -2.6091882826470467, 1.371516867165916]","[-0.17629092682855027, -4.1110479047647015, 0.0]",nan,Cup,16
"[-1.2782462069037162, -3.060357385321006, 1.3597417048156133]","[-1.1991479082395575, -2.549023491335572, 1.5953468220357745]","[-1.008074892069513, -2.3553788176218, 1.3533914024735059]","[-1.2988233168047716, -2.5393395678499506, 1.4002934492248325]","[-0.17730055709672904, -4.111053509433964, 0.0]",nan,Cup,17
"[-1.230110399118726, -3.082261761426825, 1.3900750415943823]","[-1.1328761969225585, -2.59523890965175, 1.5996537690913248]","[-0.9348338125439973, -2.392422245483947, 1.353519500109453]","[-1.2358176464982384, -2.5817038386912077, 1.399260005716869]","[-0.17706112493378756, -4.1114271402768345, 0.0]",nan,Bottle,2
"[-2.254319403515903, -2.085276021587965, 1.3101226477150498]","[-2.68218377091027, -1.7279242349247965, 1.5957850305561605]","[-2.25237334855195, -2.044769594526768, 1.299848354394912]","[-2.9256240922760792, -1.7279063298159894, 1.3647343008045736]","[-0.807583302793626, -3.619734797854863, 0.0]",nan,Book,11
"[-2.493132983113411, -2.117739422086533, 1.3664096432350843]","[-2.7435082269184643, -1.7347808786003178, 1.6216080921314928]","[-2.6688839564160176, -1.521086116302635, 1.353976894446104]","[-2.558255359749552, -2.050234094211924, 1.348522974791404]","[-0.8078718731806768, -3.620068383645759, 0.0]",nan,Stuffed Toy,6
"[-2.316820486916284, -1.9479765347524496, 1.440046855640847]","[-2.760200522053525, -1.5877548532422545, 1.6212009279255457]","[-2.5162697446379587, -1.700013475718065, 1.352155366373498]","[-2.97210143363705, -1.6157137463955307, 1.3628835765842982]","[-0.8084175337961099, -3.6196526469220287, 0.0]",nan,Book,14
"[-2.33104447075323, -1.8385434174031978, 1.4353108413785387]","[-2.7399850169903366, -1.488919112012265, 1.6215110764643244]","[-2.495206005955018, -1.6283254652013888, 1.3471438944557412]","[-2.969828337253096, -1.5249235183985603, 1.3651785588116194]","[-0.8081083472644799, -3.619956964983748, 0.0]",nan,Stuffed Toy,9
"[-1.8326118947997452, -3.731047512590297, 1.0513018668886998]","[-2.153080551641711, -3.5353980159010536, 1.561211710321372]","[-2.360511990133505, -3.367469669935434, 1.3529832474514867]","[-2.2040589735345053, -3.657212312539275, 1.352669972775643]","[-1.6193973128310453, -1.8325187491779054, 0.0]",nan,Bottle,1
"[-1.839410929623792, -3.346924790373963, 1.0540657876257482]","[-2.175424192094612, -3.447597233084223, 1.5938870447300633]","[-2.25532550102871, -3.2724709838882804, 1.3622995664007156]","[-2.1971469942964035, -3.2774239079513645, 1.3192705350540836]","[-1.6179751402182845, -1.831875587675221, 0.0]",nan,Cup,16
"[-1.8965661083692604, -3.503820900557995, 1.4321865608005282]","[-2.2786786598767153, -3.214216105497874, 1.6118579819168732]","[-2.417057708234263, -3.0223774362618983, 1.3302261563204092]","[-2.3171904194682442, -3.331584288918713, 1.3996378846023059]","[-1.6185985372458331, -1.8323424607768213, 0.0]",nan,Book,14
"[-1.830738475809016, -3.70932986514894, 1.4149935680054397]","[-2.2040717202435904, -3.427871742923431, 1.6216866018855325]","[-2.3342943528319475, -3.2465434239544764, 1.348356158821836]","[-2.24407155898105, -3.509568366562804, 1.3881814865593491]","[-1.6190335399134888, -1.832939208342057, 0.0]",nan,Stuffed Toy,9
"[-2.794041982662116, -6.998838671555087, 1.206880620078301]","[-3.1600977334784695, -7.201415304931667, 1.5733214824955222]","[-3.3933490191357647, -7.167380706939378, 1.3504829614917992]","[-3.0579571184963648, -7.268097987389909, 1.373508056954598]","[-1.4817491963496026, -5.610899102531353, 0.0]",nan,Bottle,2
"[-3.048305879409372, -6.801289360724828, 1.2601622986805683]","[-3.265979701259526, -7.099294033515164, 1.5753487436298907]","[-3.3347059084231954, -7.032624522560171, 1.3573722629074632]","[-3.217063831838229, -7.34173509093105, 1.3686746148590627]","[-1.4798476502465274, -5.609605089448537, 0.0]",nan,Cup,17
"[-2.8781302143781637, -6.620038850523208, 1.4668156003277977]","[-3.266868140808058, -6.98904073392697, 1.6092216509007176]","[-3.1327290316414595, -6.759849895364234, 1.329329524499436]","[-3.2515436602546313, -7.196217780186904, 1.355414777281118]","[-1.4807661852938931, -5.611717265544157, 0.0]",nan,Bottle,3
"[-2.4475859105517594, -6.929660722182803, 1.4775873607888297]","[-2.797440756101571, -7.220066159413233, 1.609859769808144]","[-3.017109135262212, -7.180164938729439, 1.3369890765291839]","[-2.590010041972725, -7.127527912623198, 1.352542658103125]","[-1.4809938053603822, -5.6102255520646365, 0.0]",nan,Stuffed Toy,8
"[-1.9811986018400893, -6.572592089807713, 0.8868962241534769]","[-2.139979967648443, -6.704125005531931, 1.5164590536739544]","[-2.2084993491586777, -6.815533020461654, 1.3503845768593514]","[-1.9472347316641907, -6.834274165991117, 1.3330065446518624]","[-0.8561442074361602, -5.770349069102954, 0.0]",nan,Bottle,2
"[-2.0791073691782644, -6.451792156555276, 1.0039928233449043]","[-2.111700461992783, -6.734454314476471, 1.533206471634346]","[-2.2430898156544177, -6.744327368841455, 1.3461721627239762]","[-1.991285705710306, -6.978699927686854, 1.3556788300045042]","[-0.8548076890502023, -5.770629820997064, 0.0]",nan,Book,12
"[-1.9890549313867583, -6.385879204315218, 1.3855612663750234]","[-2.054341691855258, -6.858010721275681, 1.5826072184567037]","[-2.124568255563439, -6.825203352314945, 1.3676696507458275]","[-1.9248787577526543, -7.072742750162961, 1.346928158235985]","[-0.8548437330741373, -5.77177282898478, 0.0]",nan,Bottle,1
"[-1.937473254389405, -6.486853839209502, 1.4058358757023395]","[-2.026065278534003, -6.994457904829564, 1.5987714020733423]","[-2.132515907665817, -6.95638613895633, 1.3789121596340723]","[-1.9389585658509756, -7.211159957398767, 1.3528328327660144]","[-0.8558106333454797, -5.7727273438385085, 0.0]",nan,Stuffed Toy,6
